danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.596,0.683,C,-4.168,minor,0.0419,0.0337,0,0.0912,0.441,91.024,1e2VIo91EsOuS51YDfVJwY,152567,4,C minor
0.625,0.477,B,-14.866,major,0.0381,0.414,0.887,0.107,0.251,101.631,3Mds1RLQmALDdGlRPU2sEb,154800,4,B major
0.649,0.425,E,-7.478,minor,0.0563,0.167,1.36e-4,0.131,0.182,86.018,2BYQdKiV19MQHWmwYoXHEN,249927,4,E minor
0.584,0.633,C#,-8.678,major,0.423,0.205,0,0.0702,0.493,93.986,7cl6ok9CMpIux7bjCDm2Kg,151371,3,C# major
0.543,0.549,C,-6.497,major,0.0306,0.149,0.082,0.114,0.404,80.079,41oqThgUF4yiNz77TazXtl,205893,4,C major
0.452,0.527,D,-8.478,major,0.0375,0.29,0.00214,0.102,0.363,115.052,0Cf8Juik1Rp1J7iFqxTUGK,166795,5,D major
0.711,0.258,A#,-8.956,minor,0.0693,0.791,8.79e-4,0.101,0.423,75.007,22wcNdDej7sJO0UnaerFN7,174400,4,A# minor
0.478,0.88,D,-4.548,major,0.0407,0.0136,0.0869,0.148,0.289,77.018,1tgeL9uNc6HuVpbDVuWZgP,205678,4,D major
0.54,0.457,A,-6.6,major,0.317,0.335,0.706,0.118,0.642,167.77,35qlk8sTjO4xHAVilmMjli,104096,4,A major
0.53,0.777,A,-5.708,major,0.0317,0.355,0.112,0.127,0.318,72.995,64Olnc2tGyrZI1Zb8hyoCo,281111,4,A major
0.596,0.832,D,-4.776,major,0.0418,0.0339,0.00236,0.396,0.419,92,6kx5ABLlFKUJ4EbiPhT8aL,275840,4,D major
0.259,0.669,G,-5.991,major,0.0407,0.17,9.94e-4,0.064,0.3,185.04,2iLpAz1XOSmywKGf0Nsz2E,204295,4,G major
0.451,0.685,D#,-7.752,minor,0.0276,0.0194,0.757,0.0947,0.477,82.736,5rPP9ADi0t1ZmBLyZiy82A,213747,4,D# minor
0.632,0.654,C,-7.763,major,0.0296,0.367,0.106,0.11,0.585,119.992,48592nrA5uejb7me5qaX3s,238334,4,C major
0.657,0.581,A#,-11.322,major,0.0261,0.237,0.957,0.197,0.423,98.018,5dnmgajyW9hOYEYSSpyvmx,264587,4,A# major
0.653,0.777,D,-7.484,minor,0.0304,5.98e-4,0.0676,0.0858,0.436,126.985,4zGUmPy29cOpbBb84TOrL5,218720,4,D minor
0.2,0.742,A,-5.415,major,0.0517,0.052,4.88e-4,0.0491,0.35,77.144,2DkZisoN9h1dLa8Sn5sx0n,233360,4,A major
0.74,0.698,G#,-6.444,major,0.136,0.021,0.751,0.274,0.715,95.003,1depKpsqGCvr8wtjFFaFoO,198400,4,G# major
0.324,0.816,E,-5.151,minor,0.402,0.0384,0.101,0.14,0.451,124.212,5PqVfnLTxGuqsLNxteeWRs,260179,1,E minor
0.676,0.544,A#,-8.795,major,0.0302,0.0418,3.4e-5,0.125,0.151,118.019,6X7bvudfFVzjhuaj9OHPVP,144417,4,A# major
0.368,0.567,C#,-7.849,major,0.0559,0.0882,0,0.087,0.0667,132.007,5AggBpw0ro0Vm9sUBFL2JM,235929,3,C# major
0.397,0.629,G,-6.59,major,0.0389,0.0194,0.0292,0.231,0.447,84.585,4n5IOgZgKqqcUnjxLDIerr,171982,4,G major
0.619,0.921,C,-6.258,major,0.0342,0.00497,0.811,0.111,0.533,119.991,11QhoSQKHK5RMPr1pas9e6,246493,4,C major
0.327,0.694,D,-1.348,major,0.0399,0.26,4.38e-4,0.307,0.204,122.633,1Vb9ic3vxp2is0nouMZjCe,218099,4,D major
0.557,0.659,A,-4.085,minor,0.0243,0.24,0.00946,0.0928,0.679,87.957,67JMZOn4bu5GvW7UyRJYBG,196840,4,A minor
0.658,0.658,G,-7.135,major,0.232,0.0294,0,0.109,0.337,136.133,23n34Xj4lV5M9ZqEVl7kIw,208746,4,G major
0.399,0.693,B,-7.626,major,0.456,0.155,0,0.0592,0.408,75.189,4dyGS868sbyKQ0A21HeHH4,207083,4,B major
0.665,0.317,G#,-12.803,minor,0.0705,0.64,3.1e-4,0.188,0.0406,115.579,0Bv5esoQfy1E6DkhsCNu3d,197929,4,G# minor
0.762,0.802,F,-3.967,minor,0.0374,0.422,0.001,0.425,0.884,115.014,7FDqdRXOJc76D0UXUyYuvm,209040,4,F minor
0.524,0.843,E,-6.877,minor,0.0321,0.086,0.818,0.491,0.553,110.998,4GLUDL5VD0AepQCQGT8WuF,189720,4,E minor
0.435,0.57,D,-8.203,major,0.039,0.105,0.0572,0.109,0.119,82.04,6TTuSgfpcHCcSpyo9uUXI1,231853,4,D major
0.474,0.627,C,-8.889,major,0.0306,0.095,0.0139,0.101,0.533,134.982,2SDsEZP7175EpoxLMv75YK,248233,4,C major
0.625,0.771,A,-4.339,major,0.027,5.24e-4,0.121,0.123,0.409,128.068,0xmqkQSRbdmHv4ALaGsCTe,251855,4,A major
0.863,0.793,G,-4.679,major,0.082,0.37,0,0.0589,0.359,124.02,4l0JtXF56uTvhtqjhtwl3J,239073,4,G major
0.489,0.407,G#,-9.66,major,0.0245,0.55,0.87,0.11,0.254,102.563,0iyXQ7fk9suJXLzZ4QBeA1,172813,4,G# major
