danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
0.54,0.803,G,-8.663,major,0.0417,7.24e-4,6.6e-6,0.207,0.416,159.98,3EOIiQyhKA0ehAeia7pdcB,269760,4,G major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,21st Century Pop Song,Hymie's Basement,Hymie's Basement (Bonus Version),https://i.scdn.co/image/896b5534bc4ed8ffcb60f11663ff60426bb4a2bf
0.778,0.765,B,-7.175,minor,0.128,0.139,0.0274,0.123,0.642,125.062,76iVOVsliCHlWqKuDnCfhE,222093,4,B minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Redemption (with Babes Wodumo),Zacari,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/2bd50294b0b2874d3182fa31a6fb825784e6e395
0.803,0.695,G,-7.768,major,0.0465,0.0668,0.0013,0.133,0.421,89.999,57odIsNox07FjETxo2SyPR,263941,4,G major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,The Left,Yeek,Sebastian,https://i.scdn.co/image/e49b6ea90288da10a1c9ad43b7a9ad1210e13fbe
0.454,0.663,F,-8.54,major,0.0415,0.407,0.0466,0.0913,0.463,173.988,0QEHU0ZccfSXYUpF2iVUab,285533,4,F major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Don't Swallow the Cap,The National,Trouble Will Find Me,https://i.scdn.co/image/f76c15133710b5ef4ccf37039c57382ced66c262
0.639,0.907,A,-7.85,major,0.0409,0.0128,0.328,0.704,0.696,97.019,5zyySSTcBpXQ8gSbuONRH7,234333,4,A major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Parking Lot,Anderson .Paak,Malibu,https://i.scdn.co/image/8f1948fa598aae4a5e804c7b144b77f3d4bbd181
0.569,0.5,C#,-9.266,major,0.024,0.133,0.0465,0.0914,0.295,89.951,4yPST7G2hLaKRAQmrrCvMr,240840,5,C# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Everyone's Asleep in the House but Me,Owen,Ghost Town,https://i.scdn.co/image/2d12cd3e84fe3340666d2171d7787675a2635fe2
0.451,0.685,D#,-7.752,minor,0.0276,0.0194,0.757,0.0947,0.477,82.736,5rPP9ADi0t1ZmBLyZiy82A,213747,4,D# minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Look at Me,Rogue Wave,Delusions of Grand Fur,https://i.scdn.co/image/f1639e740db7ba9394312aa1c4ea8345cbcc2c35
0.478,0.88,D,-4.548,major,0.0407,0.0136,0.0869,0.148,0.289,77.018,1tgeL9uNc6HuVpbDVuWZgP,205678,4,D major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Unusable Love,El Ten Eleven,Unusable Love,https://i.scdn.co/image/7e5235e3d8e9e5abed4b61912dde1b3db71e5c82
0.619,0.683,G,-5.014,minor,0.0303,0.0144,0.027,0.292,0.661,120,3VJu2AGrPetl8uUOzQQp63,263293,4,G minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Forlornification,Rubblebucket,If U C My Enemies,https://i.scdn.co/image/1825a82bb70f86b1d755d03e1201a2c62f13ba1e
0.533,0.765,A#,-8.498,minor,0.0411,0.572,0.51,0.127,0.258,130.386,25aY9vwZA69zNQoPPqEKhS,282583,4,A# minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Spectrolite,Bayonne,Primitives,https://i.scdn.co/image/a0f99df8903288ababf03946f060e94e1b6b100c
